Generation	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	MeanSignal	StDevSignal	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	MeanSignal	StDevSignal	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	MeanSignal	StDevSignal
100	0.6369	0.051567	0.953467	0.949338	0.00889303	0.383	0.94829	0.111645	0.6574	0.956353	0.0531722	0.0492285	0.00853333	0.653	0.0458127	0.100209	0.5857	0.326383	0.665359	0.667843	0.00803339	0.241	0.671626	0.135748
110	0.6471	0.0498525	0.953404	0.949849	0.00896748	0.318	0.947621	0.123021	0.6817	0.955747	0.0542763	0.0509122	0.0079066	0.7	0.0458756	0.10103	0.5829	0.321961	0.672215	0.668011	0.0087724	0.256	0.6703	0.125497
120	0.6731	0.0485342	0.949784	0.951265	0.0095416	0.318	0.946338	0.117432	0.666	0.953655	0.0433544	0.0500788	0.0092324	0.692	0.0460502	0.121256	0.5865	0.345161	0.66609	0.668308	0.00982116	0.225	0.670166	0.12281
130	0.6276	0.0484594	0.949145	0.950099	0.0105075	0.344	0.94551	0.14227	0.6534	0.955338	0.0540299	0.0531809	0.011622	0.659	0.0443596	0.175256	0.5852	0.321145	0.662743	0.66576	0.0105865	0.234	0.669711	0.0968581
140	0.657	0.0573171	0.949702	0.949593	0.0103683	0.307	0.945883	0.133584	0.6539	0.955405	0.0526946	0.0524985	0.0117176	0.68	0.0426236	0.219946	0.5793	0.319522	0.666355	0.664401	0.0114032	0.253	0.67014	0.115967
150	0.6434	0.0583815	0.952905	0.95022	0.0120951	0.334	0.944569	0.172813	0.6648	0.959733	0.0577982	0.050319	0.0111778	0.685	0.0425894	0.214341	0.5862	0.334818	0.668659	0.66352	0.013067	0.234	0.669248	0.102895
160	0.675	0.0612903	0.950725	0.949317	0.0132176	0.292	0.944376	0.223786	0.6246	0.957886	0.0472678	0.0509283	0.0131006	0.623	0.0429236	0.174743	0.5861	0.315228	0.652553	0.661001	0.0134429	0.194	0.669604	0.0998675
170	0.6379	0.0591429	0.949538	0.949468	0.0147765	0.337	0.945562	0.200462	0.6213	0.951817	0.0512262	0.0519367	0.0122088	0.62	0.0439466	0.206621	0.5946	0.332367	0.663052	0.662504	0.0131756	0.204	0.668308	0.0991893
180	0.6502	0.0507418	0.954902	0.954073	0.0184265	0.341	0.946711	0.184909	0.6165	0.962723	0.0587467	0.0523627	0.0128426	0.606	0.0428514	0.27887	0.5844	0.32438	0.667414	0.662712	0.0109109	0.237	0.668222	0.127337
190	0.6593	0.0574924	0.951709	0.953992	0.0185869	0.296	0.947609	0.171352	0.6693	0.960972	0.0523364	0.0532015	0.0119577	0.683	0.0432016	0.25864	0.5861	0.313964	0.663753	0.661733	0.0106069	0.219	0.667261	0.141135
200	0.6525	0.05	0.95738	0.954463	0.019295	0.327	0.946655	0.1949	0.6376	0.960031	0.0568627	0.0530794	0.0119652	0.652	0.0409094	0.317699	0.5771	0.342105	0.662262	0.662691	0.0106227	0.26	0.66509	0.169857
210	0.6352	0.0502825	0.955728	0.952834	0.0178431	0.331	0.946691	0.188868	0.6926	0.958133	0.0518771	0.0550159	0.0142947	0.707	0.0367979	0.352292	0.5787	0.328346	0.663941	0.663784	0.0100308	0.247	0.663538	0.193054
220	0.6707	0.051746	0.955328	0.953651	0.0179047	0.308	0.945726	0.186433	0.6389	0.9613	0.050565	0.0507829	0.0135043	0.622	0.0323772	0.433065	0.6113	0.338974	0.677267	0.665214	0.0112735	0.186	0.661004	0.209545
230	0.6331	0.0474576	0.954025	0.951459	0.0156387	0.338	0.946438	0.173273	0.6434	0.970295	0.0546218	0.0506135	0.0135993	0.642	0.0310978	0.43338	0.5959	0.318265	0.673752	0.667107	0.0124635	0.221	0.662575	0.231411
240	0.6402	0.0582857	0.953538	0.951389	0.0166602	0.339	0.946406	0.210205	0.6351	0.965566	0.0576923	0.0520029	0.0137003	0.645	0.0322395	0.358036	0.6088	0.341341	0.667113	0.666909	0.0137292	0.164	0.658235	0.252407
250	0.6712	0.056962	0.954971	0.951684	0.0196902	0.329	0.948367	0.203638	0.6387	0.970671	0.045961	0.0546597	0.0120118	0.62	0.0302212	0.355163	0.5912	0.330769	0.659596	0.666707	0.0128485	0.201	0.656893	0.240519
260	0.645	0.0502941	0.951364	0.950073	0.0200162	0.348	0.949177	0.280209	0.6607	0.974507	0.0542522	0.0516641	0.00977525	0.675	0.0252387	0.288174	0.6148	0.339444	0.675244	0.668623	0.0139904	0.172	0.656699	0.213847
270	0.6481	0.0514793	0.952719	0.947862	0.0169573	0.331	0.947125	0.258141	0.6242	0.975405	0.0560209	0.052638	0.0122638	0.629	0.0217308	0.27451	0.6028	0.355721	0.664956	0.666473	0.0146947	0.202	0.657157	0.227849
280	0.6185	0.0584239	0.94462	0.95058	0.0178039	0.375	0.946427	0.227949	0.6072	0.980537	0.0564356	0.0507102	0.0102699	0.64	0.0204727	0.310539	0.5945	0.335	0.667692	0.663182	0.0146988	0.223	0.657174	0.264223
290	0.6157	0.0458445	0.954705	0.952286	0.021003	0.376	0.946747	0.218098	0.6571	0.981231	0.0551429	0.0514677	0.00927691	0.66	0.0188268	0.327246	0.5932	0.331658	0.658177	0.666466	0.0150822	0.218	0.655237	0.351377
300	0.65	0.0535503	0.954532	0.953496	0.0233953	0.317	0.944568	0.26948	0.7075	0.979291	0.0579661	0.051578	0.00853855	0.682	0.0194577	0.308926	0.6092	0.34596	0.67419	0.66931	0.0157865	0.223	0.656613	0.357265
310	0.6504	0.0594675	0.952115	0.954722	0.0237642	0.332	0.943892	0.325601	0.6676	0.983008	0.0414925	0.0506451	0.00991326	0.659	0.0189482	0.269504	0.5989	0.351092	0.672503	0.67021	0.0142054	0.232	0.65679	0.384234
320	0.6579	0.0594118	0.966212	0.960774	0.0260936	0.327	0.945694	0.286247	0.7205	0.981425	0.0626761	0.0543346	0.0109506	0.685	0.0182172	0.288779	0.5901	0.353101	0.672507	0.671918	0.0129919	0.262	0.657722	0.405267
330	0.6102	0.0603627	0.955863	0.957288	0.0239471	0.368	0.943003	0.329846	0.6766	0.982537	0.0554545	0.0556378	0.0107345	0.643	0.016103	0.268609	0.5744	0.321401	0.661911	0.670655	0.013343	0.232	0.658833	0.422753
340	0.6579	0.0566265	0.956737	0.958881	0.0254969	0.336	0.943696	0.347425	0.647	0.986772	0.0558904	0.0540704	0.0104194	0.622	0.0147953	0.282135	0.6039	0.339572	0.664699	0.667182	0.0139906	0.19	0.655518	0.312156
350	0.6553	0.0610465	0.966921	0.958739	0.0265011	0.349	0.941319	0.390751	0.6504	0.987793	0.0531856	0.0525348	0.0100761	0.657	0.0117223	0.256331	0.6039	0.332065	0.665196	0.665627	0.0148644	0.192	0.656673	0.340227
360	0.6333	0.0556787	0.959624	0.960439	0.0265396	0.333	0.944302	0.404479	0.6359	0.99053	0.0498674	0.0509748	0.00977279	0.618	0.00959895	0.232823	0.6088	0.32514	0.670646	0.666126	0.0148745	0.18	0.658928	0.394487
370	0.6903	0.0621262	0.960801	0.959649	0.0269413	0.328	0.942817	0.419879	0.6559	0.989767	0.0492958	0.0456155	0.0110242	0.62	0.0120846	0.327509	0.5895	0.326531	0.653607	0.664262	0.0159438	0.232	0.658812	0.338939
380	0.6465	0.0630682	0.963426	0.959551	0.0284104	0.342	0.944827	0.379589	0.6519	0.990062	0.0401685	0.0425688	0.0105597	0.617	0.00952188	0.215815	0.5864	0.3472	0.666133	0.666885	0.0171758	0.251	0.65761	0.287492
390	0.672	0.0596215	0.956223	0.957283	0.02651	0.324	0.943508	0.418987	0.6484	0.989062	0.0427778	0.0452108	0.0108929	0.639	0.0111895	0.223062	0.5993	0.346047	0.668662	0.666807	0.0184076	0.23	0.656855	0.22742
400	0.676	0.0619497	0.962317	0.958678	0.0256713	0.325	0.941001	0.448838	0.6517	0.988958	0.0442577	0.0425025	0.0119792	0.636	0.0126758	0.253012	0.5809	0.340293	0.671252	0.664708	0.0204056	0.27	0.657246	0.284122
410	0.6329	0.0590164	0.964196	0.962958	0.0262556	0.355	0.941416	0.451064	0.6317	0.989727	0.0400531	0.0397939	0.0120353	0.628	0.0112357	0.21417	0.5949	0.348077	0.659722	0.663929	0.0199298	0.212	0.658308	0.296403
420	0.6475	0.058	0.964923	0.964879	0.0254809	0.353	0.942931	0.466322	0.6618	0.98828	0.0364431	0.0398134	0.012349	0.656	0.0109345	0.198527	0.596	0.347489	0.665685	0.665739	0.0220315	0.207	0.655008	0.29472
430	0.5932	0.0595122	0.964068	0.967551	0.0249151	0.402	0.943298	0.455753	0.6642	0.992519	0.0408696	0.0381741	0.0113155	0.666	0.0106398	0.184678	0.5724	0.340449	0.656889	0.664056	0.0194524	0.275	0.657749	0.26993
440	0.5969	0.0591241	0.972156	0.967519	0.0243646	0.4	0.944064	0.421901	0.6329	0.991667	0.0375	0.0397874	0.0113418	0.622	0.00872303	0.162061	0.5809	0.338077	0.666216	0.663517	0.0195069	0.276	0.657047	0.260676
450	0.6208	0.059375	0.970779	0.968162	0.021281	0.38	0.946048	0.427952	0.6336	0.994686	0.0419525	0.0439607	0.0119392	0.644	0.00671539	0.106447	0.5667	0.342484	0.665562	0.667741	0.0235109	0.313	0.655929	0.212524
460	0.6373	0.0513889	0.966875	0.967726	0.0213295	0.364	0.947866	0.412644	0.691	0.993088	0.0490625	0.0488843	0.0126188	0.698	0.00698872	0.0849998	0.594	0.35272	0.669777	0.671527	0.0247509	0.252	0.655838	0.238893
470	0.6524	0.0561047	0.965091	0.964835	0.0237621	0.324	0.943203	0.493398	0.6659	0.994325	0.0505747	0.0473926	0.0151154	0.634	0.00571408	0.0790834	0.6031	0.342391	0.661887	0.670429	0.0252759	0.189	0.656283	0.272898
480	0.6915	0.0699346	0.965562	0.964798	0.0244324	0.333	0.940193	0.504282	0.6613	0.996759	0.04375	0.0440393	0.0142957	0.614	0.00412118	0.0621061	0.5898	0.313551	0.665013	0.66653	0.0241933	0.21	0.655149	0.32192
490	0.6488	0.0592068	0.970479	0.968967	0.0240952	0.306	0.942168	0.476261	0.6216	0.996026	0.0505051	0.04649	0.0143093	0.589	0.00374855	0.0439413	0.5894	0.343694	0.659512	0.666632	0.0241691	0.228	0.656296	0.341076
500	0.657	0.054491	0.959159	0.962004	0.0266215	0.344	0.941299	0.503442	0.6639	0.995084	0.0461318	0.0504368	0.0130104	0.66	0.00352518	0.0451953	0.6015	0.349083	0.671867	0.668329	0.0256038	0.227	0.655722	0.320983
510	0.6488	0.0602305	0.961562	0.962792	0.0265726	0.356	0.939798	0.53375	0.6633	0.996456	0.0472934	0.0503139	0.0126229	0.658	0.00345412	0.03438	0.5843	0.339442	0.666355	0.670342	0.0264931	0.244	0.656052	0.323024
520	0.6288	0.0566757	0.960506	0.962745	0.0245791	0.349	0.938636	0.541024	0.6649	0.995692	0.0505714	0.047777	0.0148248	0.659	0.00374286	0.0397652	0.5954	0.33125	0.678816	0.671713	0.0274917	0.219	0.655696	0.306053
530	0.6643	0.0663636	0.958806	0.958728	0.0238984	0.342	0.937858	0.636291	0.6367	0.993109	0.0452128	0.0475598	0.0139754	0.631	0.00479111	0.0570308	0.595	0.336508	0.682086	0.674198	0.0285761	0.249	0.65371	0.33499
540	0.6633	0.0550898	0.968318	0.963482	0.0225862	0.323	0.943028	0.526396	0.6708	0.995137	0.0467836	0.046326	0.014267	0.674	0.00483458	0.0523619	0.5947	0.361088	0.668068	0.672422	0.0284078	0.252	0.653051	0.345562
550	0.6648	0.0569697	0.964179	0.966666	0.0242365	0.368	0.941346	0.361807	0.6906	0.997496	0.041433	0.0403947	0.0148902	0.676	0.00365336	0.0466607	0.6052	0.343256	0.676943	0.670966	0.0272079	0.212	0.651431	0.297047
560	0.6277	0.0556452	0.966561	0.966035	0.0224835	0.36	0.945216	0.517512	0.6623	0.99616	0.0395415	0.0382246	0.0151184	0.638	0.00419536	0.0539292	0.5913	0.338866	0.674104	0.673519	0.0281024	0.234	0.650014	0.27205
570	0.6532	0.0554598	0.972239	0.97368	0.0223317	0.371	0.945616	0.472489	0.6202	0.99523	0.0385204	0.0433181	0.0167387	0.608	0.00413313	0.0633481	0.5894	0.348302	0.676327	0.671416	0.0273577	0.279	0.650489	0.353845
580	0.6856	0.0522436	0.97282	0.974002	0.0235871	0.305	0.94527	0.468624	0.6422	0.995577	0.0326975	0.0414168	0.0165081	0.643	0.00525701	0.0727149	0.5773	0.34539	0.668384	0.673108	0.0291943	0.27	0.648861	0.288571
590	0.6275	0.0554667	0.97072	0.971703	0.0251838	0.386	0.94731	0.597694	0.7014	0.995369	0.0440129	0.0400667	0.0164851	0.673	0.00440557	0.0781338	0.5846	0.336071	0.68125	0.676173	0.0295153	0.26	0.647262	0.321205
600	0.6311	0.0611111	0.977492	0.976109	0.0233236	0.398	0.944657	0.651033	0.6465	0.995433	0.0394521	0.0387957	0.0160202	0.626	0.00450111	0.106213	0.5996	0.351282	0.675457	0.676361	0.028459	0.238	0.649085	0.455652
610	0.6432	0.0552778	0.973906	0.974253	0.0226141	0.359	0.946022	0.650445	0.6544	0.998284	0.04039	0.0391818	0.0140279	0.635	0.00270635	0.0600129	0.5898	0.347826	0.682044	0.677839	0.0299446	0.253	0.645157	0.398833
620	0.6602	0.0478006	0.977086	0.972016	0.0227319	0.347	0.948319	0.707937	0.6723	0.99713	0.0360947	0.0382994	0.0150832	0.652	0.00262981	0.0766896	0.587	0.360075	0.670082	0.673349	0.0297189	0.257	0.645622	0.368712
630	0.6225	0.0469496	0.970787	0.968918	0.0245331	0.387	0.945205	0.836125	0.6569	0.9986	0.0414566	0.0415551	0.0148271	0.666	0.00208289	0.0561512	0.5914	0.363571	0.68	0.67666	0.0297737	0.289	0.646474	0.385452
640	0.629	0.068883	0.966506	0.967129	0.0266682	0.379	0.940401	0.82895	0.642	0.997452	0.0419355	0.0382711	0.0150925	0.639	0.00213695	0.0258417	0.592	0.333333	0.673684	0.671402	0.031321	0.238	0.645115	0.438202
650	0.6389	0.053719	0.97237	0.972727	0.0200025	0.349	0.94718	0.838954	0.6724	0.996828	0.0369822	0.0365595	0.0145644	0.663	0.0021213	0.0227733	0.6015	0.371008	0.673491	0.676061	0.0346846	0.221	0.643221	0.56702
660	0.6119	0.0557252	0.971993	0.971569	0.0210251	0.402	0.94599	0.847357	0.6207	0.997525	0.0411168	0.0388656	0.0158457	0.605	0.00270927	0.0368842	0.5904	0.344309	0.67069	0.675035	0.0352373	0.24	0.641222	0.534481
670	0.6316	0.0559459	0.969683	0.968913	0.0234911	0.367	0.942338	0.863856	0.6411	0.996197	0.0338753	0.0390876	0.0161645	0.647	0.00339261	0.0514738	0.5942	0.358537	0.671088	0.67714	0.0350475	0.23	0.64036	0.65129
680	0.6532	0.0521614	0.972588	0.973882	0.0217946	0.354	0.945234	0.792454	0.6556	0.998295	0.0329577	0.0359063	0.0165228	0.642	0.00253068	0.0358418	0.5971	0.362241	0.671673	0.675681	0.03224	0.228	0.637639	0.611928
690	0.683	0.0555205	0.974231	0.973653	0.0222931	0.334	0.939947	0.825647	0.6541	0.997975	0.0374302	0.0381902	0.0165687	0.675	0.0024574	0.0263371	0.6015	0.353617	0.677647	0.678078	0.0293053	0.245	0.637871	0.582275
700	0.6574	0.06	0.972061	0.974124	0.0223969	0.34	0.939939	0.775721	0.6386	0.997604	0.0377005	0.0393311	0.016262	0.604	0.00316621	0.0397789	0.5696	0.35549	0.678431	0.682306	0.0320546	0.313	0.63229	0.710958
710	0.6436	0.0668493	0.975118	0.975618	0.0242482	0.379	0.933036	0.807535	0.6319	0.995955	0.0429319	0.0413504	0.0154488	0.603	0.00359822	0.0394367	0.5836	0.383168	0.670732	0.68678	0.0322416	0.295	0.629341	0.583491
720	0.6681	0.0684524	0.971536	0.971053	0.0280751	0.347	0.932841	0.778996	0.6561	0.996112	0.0436975	0.0425102	0.0158272	0.642	0.00394075	0.0416651	0.6012	0.383755	0.684509	0.688467	0.0322712	0.256	0.62216	0.68897
730	0.6296	0.0668464	0.961526	0.963111	0.0325021	0.355	0.931802	0.712246	0.6923	0.997063	0.0416928	0.0449344	0.0146967	0.679	0.00387407	0.0338297	0.6173	0.385526	0.685751	0.6911	0.0318536	0.224	0.618191	0.78115
740	0.6531	0.0691643	0.9634	0.967918	0.0305237	0.357	0.926413	0.63507	0.674	0.995599	0.0524927	0.0493831	0.0144061	0.669	0.00419345	0.0355007	0.614	0.373529	0.689108	0.696214	0.0286817	0.241	0.616924	0.764273
750	0.6607	0.0755814	0.96753	0.967308	0.0256129	0.328	0.923388	0.63576	0.6112	0.994932	0.0544118	0.0481254	0.0140288	0.636	0.00443036	0.040388	0.6108	0.374643	0.702639	0.701092	0.0325457	0.279	0.616378	0.803964
760	0.6489	0.0803371	0.963199	0.962238	0.0289118	0.364	0.92148	0.521478	0.6568	0.993789	0.047191	0.0492603	0.0143876	0.632	0.00514202	0.0457597	0.6298	0.403774	0.711293	0.703631	0.0310796	0.274	0.609495	0.690701
770	0.6261	0.0833333	0.964448	0.961133	0.0288872	0.385	0.918814	0.439513	0.6859	0.994807	0.0472393	0.0457369	0.0137515	0.664	0.00493272	0.0411577	0.6202	0.408741	0.704902	0.704155	0.030753	0.281	0.606172	0.608154
780	0.6629	0.0890855	0.957186	0.961199	0.0277685	0.331	0.921684	0.40208	0.6473	0.995404	0.0520325	0.0478596	0.0137106	0.631	0.00563425	0.0467566	0.6206	0.384701	0.706967	0.707952	0.0288537	0.3	0.603303	0.609367
790	0.6792	0.0827044	0.957331	0.960096	0.0273246	0.324	0.919743	0.368479	0.6411	0.993651	0.0408108	0.0431613	0.0138138	0.648	0.0057573	0.0485168	0.6179	0.402273	0.713873	0.709368	0.0271289	0.31	0.602295	0.612898
800	0.6987	0.0824324	0.957812	0.960172	0.0254104	0.302	0.919137	0.43983	0.6665	0.993607	0.0399417	0.0421839	0.0125786	0.649	0.0053561	0.0460428	0.6317	0.403089	0.711606	0.710797	0.0263812	0.251	0.600664	0.562879
810	0.6444	0.0773109	0.959253	0.960849	0.0252668	0.334	0.918931	0.420209	0.6514	0.995775	0.0418283	0.0417238	0.0131804	0.622	0.00451801	0.0401982	0.6277	0.396269	0.712432	0.712342	0.0251018	0.275	0.602055	0.552603
820	0.6609	0.0774854	0.964134	0.962354	0.0231822	0.329	0.917831	0.450584	0.6654	0.995732	0.0354651	0.0406212	0.012239	0.637	0.0052479	0.0433599	0.6282	0.405208	0.718399	0.714616	0.0211933	0.281	0.602647	0.602888
830	0.6464	0.0779037	0.956569	0.958739	0.025802	0.343	0.917168	0.573674	0.6245	0.994262	0.0461538	0.0440061	0.0145644	0.62	0.00565476	0.0493618	0.6223	0.400336	0.716524	0.717155	0.0189108	0.319	0.599239	0.558029
840	0.6331	0.0774194	0.962261	0.957279	0.0256034	0.351	0.916429	0.561232	0.6321	0.995307	0.0445026	0.0438796	0.0144861	0.614	0.00486022	0.0393443	0.6003	0.404816	0.706955	0.717421	0.015682	0.36	0.595184	0.460569
850	0.6037	0.0901235	0.953277	0.953788	0.0267618	0.392	0.914296	0.630303	0.6742	0.994419	0.0442136	0.0411174	0.0158229	0.65	0.00442255	0.0353615	0.6006	0.394933	0.724	0.717433	0.0134889	0.379	0.593495	0.42041
860	0.6493	0.0893258	0.958851	0.95543	0.0224703	0.351	0.910809	0.5671	0.6557	0.994565	0.0426966	0.0430314	0.0132635	0.641	0.00499881	0.0400274	0.6002	0.412703	0.710317	0.717288	0.0148218	0.39	0.591097	0.390578
870	0.6584	0.0877907	0.957622	0.955846	0.022339	0.33	0.913677	0.700913	0.6585	0.996589	0.0442254	0.042314	0.0113339	0.649	0.00455858	0.0345292	0.6038	0.409827	0.706422	0.716823	0.0190075	0.345	0.589807	0.375822
880	0.6296	0.0926121	0.957327	0.955958	0.0175564	0.383	0.909493	0.605205	0.6581	0.997674	0.0411268	0.0451031	0.0133268	0.667	0.00409207	0.0299421	0.6372	0.4	0.724487	0.716134	0.0198501	0.279	0.589488	0.377092
890	0.636	0.0951482	0.955008	0.955545	0.0180496	0.36	0.911617	0.646074	0.6734	0.995745	0.0532164	0.0470733	0.0127166	0.659	0.00483954	0.0375176	0.6101	0.402528	0.724845	0.721432	0.0154894	0.35	0.584256	0.272668
900	0.6432	0.0975069	0.951487	0.953395	0.0186305	0.372	0.908459	0.569228	0.6448	0.995397	0.0478378	0.0456375	0.0129072	0.607	0.00416256	0.0285661	0.6204	0.421037	0.72634	0.723671	0.0119567	0.342	0.584063	0.193425
910	0.7098	0.0916968	0.946611	0.948323	0.0212495	0.271	0.90679	0.543649	0.6212	0.996546	0.0390306	0.0438257	0.0128185	0.612	0.0046362	0.0338754	0.6341	0.4157	0.724611	0.722732	0.0149633	0.3	0.584677	0.221624
920	0.683	0.0951456	0.945876	0.949095	0.0219785	0.325	0.906372	0.60963	0.6402	0.994118	0.0401617	0.0459298	0.0135173	0.664	0.0041533	0.0288412	0.6196	0.419149	0.717884	0.722095	0.0166004	0.306	0.584689	0.235599
930	0.656	0.094152	0.948024	0.948053	0.0230848	0.329	0.903302	0.464157	0.6501	0.997476	0.0483607	0.042382	0.0139524	0.622	0.00373823	0.0213796	0.6248	0.407571	0.725622	0.72046	0.0196675	0.32	0.585627	0.379692
940	0.6384	0.101102	0.944584	0.948083	0.0229923	0.371	0.901556	0.459007	0.6557	0.99688	0.0465181	0.0443046	0.0143976	0.625	0.00349518	0.0199829	0.6174	0.415269	0.718769	0.723773	0.013099	0.313	0.58223	0.215946
950	0.6432	0.0986072	0.948206	0.948747	0.0234588	0.354	0.899234	0.431065	0.7136	0.997143	0.052	0.047155	0.0167101	0.687	0.00314287	0.0248973	0.638	0.424643	0.720972	0.723785	0.0148084	0.278	0.582235	0.273461
960	0.6765	0.105538	0.951407	0.950332	0.0227301	0.31	0.900189	0.314947	0.6327	0.995806	0.0402632	0.0457517	0.0162816	0.622	0.00381222	0.0388696	0.6607	0.421171	0.729049	0.724737	0.0126824	0.211	0.580376	0.196655
970	0.6311	0.0954178	0.947059	0.948949	0.0227624	0.385	0.900637	0.361555	0.6452	0.996989	0.0436314	0.0445812	0.0138624	0.622	0.00316581	0.0308909	0.6378	0.412274	0.724205	0.723643	0.0136843	0.296	0.57991	0.1845
980	0.6331	0.0902174	0.949209	0.946033	0.0250737	0.359	0.90042	0.33848	0.6253	0.995395	0.0512755	0.0466758	0.0155572	0.604	0.00298773	0.0181237	0.6314	0.42044	0.729765	0.724279	0.0103187	0.323	0.578022	0.135378
990	0.6722	0.104321	0.944379	0.942041	0.0228872	0.339	0.898451	0.242565	0.6736	0.997117	0.0483871	0.0459153	0.017863	0.678	0.00318039	0.018547	0.6439	0.422993	0.727273	0.725486	0.00953956	0.263	0.576896	0.117302
1000	0.6735	0.0984424	0.945361	0.940586	0.0241662	0.316	0.900677	0.28693	0.6755	0.996828	0.0461538	0.0461616	0.0213597	0.678	0.00347983	0.0230645	0.6447	0.429368	0.72394	0.72412	0.00907655	0.298	0.57671	0.0972097
1010	0.6781	0.0952077	0.943668	0.942353	0.026885	0.313	0.901485	0.398496	0.6871	0.996434	0.0504587	0.0447728	0.0216695	0.666	0.00371633	0.0321424	0.616	0.426611	0.721151	0.723852	0.00844207	0.355	0.576518	0.111796
1020	0.6928	0.107591	0.947202	0.945286	0.0271977	0.344	0.90305	0.324003	0.6219	0.997213	0.0348718	0.0407679	0.0189026	0.644	0.00399563	0.0316916	0.6312	0.417377	0.725036	0.725606	0.00924892	0.298	0.576125	0.110329
1030	0.6719	0.0933962	0.941642	0.939879	0.0264223	0.352	0.898306	0.3071	0.6803	0.994925	0.0415152	0.0421466	0.0194899	0.669	0.00438372	0.0234014	0.6303	0.41619	0.728759	0.7248	0.00848326	0.326	0.576016	0.110074
1040	0.6329	0.0969863	0.940945	0.941955	0.0270277	0.375	0.897701	0.339361	0.6424	0.994778	0.0372283	0.0377128	0.0188868	0.607	0.00475877	0.0335763	0.6085	0.432812	0.718019	0.726513	0.00881789	0.372	0.576511	0.151704
1050	0.6799	0.1	0.940435	0.939666	0.0265328	0.301	0.895522	0.45252	0.6439	0.996209	0.0362398	0.0428419	0.0219385	0.631	0.00418455	0.0251602	0.6291	0.412795	0.720484	0.72555	0.00876158	0.271	0.578932	0.200853
1060	0.6232	0.0960317	0.943569	0.943304	0.0295506	0.375	0.901128	0.658914	0.6438	0.994787	0.0384196	0.0419161	0.021583	0.636	0.00449643	0.026947	0.6444	0.416923	0.724324	0.725029	0.010987	0.257	0.576629	0.203269
1070	0.6317	0.0967123	0.939213	0.94037	0.0284088	0.35	0.8974	0.587395	0.6651	0.995865	0.0426513	0.0410066	0.0222124	0.66	0.00448011	0.025971	0.624	0.416613	0.718486	0.725977	0.0118359	0.325	0.579186	0.18986
